(Recommended Song, % Change SONG Target | Valence TEXT Negative Sentiment, % Change SONG Target Energy | TEXT Bored Emotion)

(<What Is Love> by Kiesza, 2.6315789473684235, 18.30715811243856)

(<Baby Don't Lie> by Gwen Stefani, 15.789473684210527, 44.26912391469638)

(<You & Me - Flume Remix> by Disclosure, 9.649122807017541, 31.20598289394007)

(<Christine> by Christine and the Queens, 99.12280701754386, 28.905555544372923)

(<Walk This Way - Kant Remix (Club Version)> by MØ, 5.263157894736847, 47.226816221282704)

(<Sunlight (feat. Years and Years) - Extended Club Mix> by The Magician, 27.19298245614035, 43.2832264791676)

(<Sonnentanz> by Klangkarussell, 22.807017543859658, 26.85160255368797)

(<Ghosttown> by Madonna, 60.57017543859649, 44.18696579506898)

(<Into the Blue> by Kylie Minogue, 4.824561403508776, 54.70320510737594)

(<Cool Kids - RAC Mix> by Echosmith, 14.912280701754387, 54.21025638961155)

(<Say You'll Be There> by MØ, 75.43859649122808, 36.54626066972095)

(<Crying for No Reason> by Katy B, 5.701754385964906, 56.59284185880609)

(<One More (feat. MØ)> by Elliphant, 45.6140350877193, 40.90064100997305)

(<Say Something> by Karen Harding, 35.96491228070175, 50.59529912600603)

(<Embrace> by Goldroom, 28.07017543859648, 55.77126066253211)

(<Blind Heart - Mix Cut> by CAZZETTE, 62.28070175438596, 49.527243570849855)

(<Ain't Nobody (Loves Me Better) - Extended Mix> by Felix Jaehn, 138.5964912280702, 36.62841878934835)

(<Rihanna (feat. Noonie Bao)> by Clean Bandit, 125.87719298245615, 40.07905981369907)

(<Sonnentanz - Sun Don't Shine> by Klangkarussell, 32.01754385964912, 44.104807675441585)

(<2 On> by Tinashe, 89.03508771929823, 47.88408117830189)

(<What Is Love> by Kiesza, 24.489795918367342, 7.211670877419304)

(<You & Me - Flume Remix> by Disclosure, 14.965986394557818, 12.69776588914199)

(<Christine> by Christine and the Queens, 54.42176870748301, 11.719354039917562)

(<Say You'll Be There> by MØ, 36.0544217687075, 14.96907911055584)

(<Baby Don't Lie> by Gwen Stefani, 10.204081632653052, 18.253747461523563)

(<Say Something> by Karen Harding, 5.4421768707483045, 20.944380046890736)

(<Sonnentanz> by Klangkarussell, 40.136054421768705, 10.845772031681467)

(<Sunlight (feat. Years and Years) - Extended Club Mix> by The Magician, 43.537414965986386, 17.834428097570235)

(<Blind Heart - Mix Cut> by CAZZETTE, 25.850340136054427, 20.490117402607964)

(<Walk This Way - Kant Remix (Club Version)> by MØ, 26.530612244897956, 19.51170555338354)

(<Cool Kids - RAC Mix> by Echosmith, 10.884353741496591, 22.481884381386266)

(<Embrace> by Goldroom, 0.6802721088435381, 23.145806707645697)

(<One More (feat. MØ)> by Elliphant, 12.925170068027223, 16.821072968016363)

(<Ain't Nobody (Loves Me Better) - Extended Mix> by Felix Jaehn, 85.03401360544221, 15.004022390885284)

(<Rihanna (feat. Noonie Bao)> by Clean Bandit, 75.17006802721089, 16.471640164721926)

(<2 On> by Tinashe, 46.59863945578232, 19.79125179601909)

(<Feelin' Myself> by will.i.am, 74.82993197278913, 17.62476841559357)

(<Crying for No Reason> by Katy B, 18.02721088435374, 23.495239510940134)

(<Sonnentanz - Sun Don't Shine> by Klangkarussell, 47.27891156462585, 18.183860900864673)

(<Ain't Nobody (Loves Me Better) (feat. Jasmine Thompson)> by Felix Jaehn, 62.925170068027214, 18.777896666465217)

(<Uptown Funk> by Mark Ronson, 0.9605122732123808, 7.473431045628695)

(<Dust Clears> by Clean Bandit, 19.423692636072577, 5.8316168200388985)

(<Prayer in C - Robin Schulz Remix> by Lilly Wood and The Prick, 6.296691568836718, 7.65430888404113)

(<I Will Never Let You Down - Switch Remix> by Rita Ora, 13.447171824973317, 6.777747051734714)

(<Rumble> by Kelis, 11.953041622198516, 7.306466887094139)

(<Control> by Disclosure, 10.138740661686242, 7.612567844407491)

(<Uptight Downtown> by La Roux, 2.668089647812157, 9.115245271218491)

(<Come Alive (feat. Toro Y Moi)> by Chromeo, 2.5613660618996703, 9.379605188898205)

(<See Right Through> by Tensnake, 27.001067235859125, 6.4299050547877235)

(<Teach Me> by Bakermat, 26.360725720384213, 6.6246965730780385)

(<Dance with Me - Extended Mix> by Le Youth, 5.22945570971185, 9.504828307799121)

(<Cool Kids> by Echosmith, 16.115261472785487, 8.336079198057233)

(<In Your Eyes (feat. Yandel) - Radio Edit> by INNA, 5.442902881536825, 9.741360865723076)

(<Watch Out For This (Bumaye)> by Major Lazer, 6.083244397011744, 9.56048302731064)

(<Stranger> by Chris Malinchak, 2.24119530416221, 10.186598621815223)

(<Come Get It Bae> by Pharrell Williams, 4.482390608324444, 10.103116542547946)

(<Dance with Me> by Le Youth, 1.0672358591248674, 10.214425981570983)

(<My Love (feat. Jess Glynne)> by Route 94, 22.518676627534692, 7.65430888404113)

(<Christine> by Christine and the Queens, 51.54749199573106, 4.064579475548185)

(<Faded> by ZHU, 34.47171824973319, 5.636825301748583)

(<What Is Love> by Kiesza, 5.932203389830502, 6.143582705044595)

(<You & Me - Flume Remix> by Disclosure, 5.932203389830514, 10.916103916499921)

(<Baby Don't Lie> by Gwen Stefani, 11.864406779661028, 15.749421576508817)

(<Christine> by Christine and the Queens, 92.37288135593222, 10.064953636749925)

(<Walk This Way - Kant Remix (Club Version)> by MØ, 8.474576271186438, 16.843757650473094)

(<Sunlight (feat. Years and Years) - Extended Club Mix> by The Magician, 29.661016949152536, 15.384642885187391)

